X,year,month,day,hour,season,PM2.5,PM10,SO2,CO,NO2,O3,TEMP,DEWP,HUMI,PRES,RAIN,IRAIN,winddir,wd,cbwd,WSPM,Iws
113740,2023,2,20,3,4,3.97540564903846,24.8462853064904,3.27475166466543,0.218316777644362,33.8391005348761,43.6633555288724,1.2,-13.7,32.0,1024.0,0.0,0.0,NA,NE,NE,1.8,6.7
113741,2023,2,20,4,4,2.96669606003752,19.7779737335835,3.27475166466543,0.218316777644362,19.6485099879926,60.0371138521995,0.1,-14.3,33.0,1025.0,0.0,0.0,NA,NE,NE,1.5,8.2
113742,2023,2,20,5,4,2.95330607958594,17.7198364775157,3.27475166466543,0.218316777644362,15.2821744351053,62.2202816286432,-1.0,-14.9,34.0,1025.5,0.0,0.0,56.0,NE,NE,1.1,9.3
113743,2023,2,20,6,4,2.95512258209627,15.7606537711801,3.27475166466543,0.218316777644362,14.1905905468835,63.311865516865,-0.7,-15.8,31.0,1026.0,0.0,0.0,NA,NE,NE,2.3,11.6
113744,2023,2,20,7,4,2.92446123914995,14.6223061957498,3.27475166466543,0.218316777644362,13.0990066586617,63.311865516865,-3.0,-13.8,43.0,1028.0,0.0,0.0,NA,NE,CV,0.1,0.1
113745,2023,2,20,8,4,2.92999110499839,16.6032829283242,3.27475166466543,0.218316777644362,16.3737583233271,62.2202816286432,-2.2,-12.0,47.0,1029.1,0.0,0.0,245.0,WSW,SW,0.7,0.7
113746,2023,2,20,9,4,3.9291859596714,19.645929798357,3.27475166466543,0.218316777644362,14.1905905468835,63.311865516865,-0.4,-14.7,33.0,1030.0,0.0,0.0,NA,NE,NE,0.8,0.8
113747,2023,2,20,10,4,3.98153398492875,18.9122864284115,3.27475166466543,0.218316777644362,9.82425499399629,68.769784957974,3.5,-14.7,25.0,1031.0,0.0,0.0,NA,NE,NE,1.1,1.9
113748,2023,2,20,11,4,4.00585341088107,21.0307304071256,3.27475166466543,0.218316777644362,8.73267110577448,68.769784957974,5.0,-13.9,24.0,1030.3,0.0,0.0,96.0,E,SE,1.7,1.7
113749,2023,2,20,12,4,8.02268857356236,22.0623935772965,3.27475166466543,0.218316777644362,8.73267110577448,72.0445366226395,5.3,-15.3,21.0,1030.0,0.0,0.0,NA,NE,NE,2.0,2.0
113750,2023,2,20,13,4,6.0445054945055,20.1483516483517,3.27475166466543,0.218316777644362,7.64108721755267,75.3192882873049,6.3,-15.1,20.0,1029.0,0.0,0.0,NA,NE,NE,1.1,3.1
113751,2023,2,20,14,4,5.06479750196328,18.2332710070678,3.27475166466543,0.109158388822181,8.73267110577448,78.5940399519703,7.7,-15.2,18.0,1028.5,0.0,0.0,157.0,SSE,SE,2.4,2.4
113752,2023,2,20,15,4,5.06545570188566,16.2094582460341,3.27475166466543,0.109158388822181,10.9158388822181,78.5940399519703,7.6,-16.7,16.0,1028.0,0.0,0.0,NA,NE,NE,2.0,2.0
113753,2023,2,20,16,4,6.09371071535468,11.1718029781503,3.27475166466543,0.109158388822181,14.1905905468835,77.5024560637485,8.3,-16.1,16.0,1028.0,0.0,0.0,NA,NE,NE,1.7,3.7
113754,2023,2,20,17,4,6.06791618996343,16.1811098399025,3.27475166466543,0.109158388822181,17.465342211549,73.1361205108613,7.3,-16.9,16.0,1028.7,0.0,0.0,150.0,SSE,SE,0.7,0.7
113755,2023,2,20,18,4,6.02719219555954,20.0906406518651,3.27475166466543,0.109158388822181,24.0148455408798,68.769784957974,5.5,-16.4,19.0,1029.0,0.0,0.0,NA,NE,NE,1.7,1.7
113756,2023,2,20,19,4,7.97368185212845,22.9243353248693,3.27475166466543,0.109158388822181,22.923261652658,67.6782010697522,3.6,-15.7,23.0,1030.0,0.0,0.0,NA,NE,NE,1.3,3.0
113757,2023,2,20,20,4,6.94617734379662,22.8231541296175,3.27475166466543,0.218316777644362,31.6559327584325,55.6707782993123,2.7,-16.4,23.0,1031.2,0.0,0.0,51.0,NE,NE,1.5,4.5
113758,2023,2,20,21,4,6.91058251341682,19.7445214669052,3.27475166466543,0.218316777644362,38.2054360877633,49.1212749699814,1.5,-16.4,25.0,1032.0,0.0,0.0,NA,NE,NE,1.0,5.5
113759,2023,2,20,22,4,4.92596246928289,12.8075024201355,3.27475166466543,0.109158388822181,22.923261652658,63.311865516865,1.2,-18.8,21.0,1033.0,0.0,0.0,NA,NE,NE,1.8,7.3
113760,2023,2,20,23,4,4.90684049992561,11.7764171998215,3.27475166466543,0.109158388822181,19.6485099879926,65.4950332933086,0.4,-17.4,25.0,1034.0,0.0,0.0,NA,NE,NE,1.3,8.6
113761,2023,2,21,0,4,4.90145625650945,13.7240775182265,3.27475166466543,0.109158388822181,21.8316777644362,61.1286977404214,0.1,-18.1,24.0,1034.0,0.0,0.0,NA,NE,NE,1.5,10.1
113762,2023,2,21,1,4,4.87161835748792,12.6662077294686,3.27475166466543,0.109158388822181,21.8316777644362,61.1286977404214,-1.3,-17.1,29.0,1035.0,0.0,0.0,NA,NA,CV,0.1,0.1
113763,2023,2,21,2,4,4.86444630248978,11.6746711259755,3.27475166466543,0.109158388822181,27.2895972055452,54.5791944110905,-1.7,-17.0,30.0,1035.0,0.0,0.0,NA,NE,NE,1.4,1.4
113764,2023,2,21,3,4,4.87161835748792,11.691884057971,NA,0.109158388822181,26.1980133173234,54.5791944110905,-1.3,-17.1,29.0,1035.0,0.0,0.0,NA,NE,NE,1.5,2.9
113765,2023,2,21,4,4,5.83867356048207,12.6504593810445,NA,0.109158388822181,28.3811810937671,50.2128588582033,-1.9,-17.2,30.0,1034.0,0.0,0.0,NA,NE,NE,1.3,4.2
113766,2023,2,21,5,4,5.82227424749164,12.6149275362319,NA,0.109158388822181,26.1980133173234,51.3044427464251,-2.4,-16.9,32.0,1035.0,0.0,0.0,NA,NE,NE,1.0,5.2
113767,2023,2,21,6,4,5.0,12.0,3.27475166466543,0.109158388822181,18.5569260997708,56.7623621875341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113768,2023,2,21,7,4,5.76202898550725,13.4447342995169,3.27475166466543,0.109158388822181,25.1064294291016,49.1212749699814,-5.2,-14.8,47.0,1035.0,0.0,0.0,NA,NE,NE,0.6,0.6
113769,2023,2,21,8,4,8.71727424749164,20.3403065774805,3.27475166466543,0.218316777644362,41.4801877524288,32.7475166466543,-2.9,-15.9,36.0,1035.0,0.0,0.0,NA,NE,NE,1.0,1.6
113770,2023,2,21,9,4,13.6204496469714,30.1595670754366,2.18316777644362,0.327475166466543,49.1212749699814,27.2895972055452,-1.7,-15.2,35.0,1035.0,0.0,0.0,NA,NE,NE,1.2,2.8
113771,2023,2,21,10,4,17.6346488294314,37.2287030843553,3.27475166466543,0.545791944110905,54.5791944110905,24.0148455408798,0.2,-14.6,32.0,1035.0,0.0,0.0,NA,NE,NE,1.8,4.6
113772,2023,2,21,11,4,22.6238888888889,46.231425120773,4.36633555288724,0.545791944110905,50.2128588582033,29.4727649819889,1.3,-14.4,30.0,1035.0,0.0,0.0,NA,NE,NE,2.3,6.9
113773,2023,2,21,12,4,25.6928916827853,50.397595223925,4.36633555288724,0.545791944110905,46.9381071935378,32.7475166466543,2.3,-14.4,28.0,1034.0,0.0,0.0,NA,NE,NE,2.1,9.0
